Country,Region,IncomeGroup,Cluster,Life expectancy,GDP,Schooling,Adult Mortality,HIV/AIDS,Sanitation,Undernourishment,Health Expenditure %,CO2
Croatia,Europe & Central Asia,High income,3,76.21333333333334,9332.595120999998,14.0,86.46666666666667,0.1,77.67786835933333,3.046666666666667,7.152060316666667,19728.00008138021
Cuba,Latin America & Caribbean,Upper middle income,3,78.04666666666667,3209.722848733333,14.866666666666667,53.733333333333334,0.1,38.678313214666666,2.5,9.754519845999999,27236.66678873698
Cyprus,Europe & Central Asia,High income,3,79.78,13847.285694666667,13.586666666666668,57.266666666666666,0.1,76.44763247733334,4.826666666666667,6.060363896,7564.666667938232
Denmark,Europe & Central Asia,High income,3,79.41333333333334,35022.33116533333,17.240000000000002,69.66666666666667,0.1,87.89112770133333,2.5,9.608543840666666,47984.66669718424
Djibouti,Middle East & North Africa,Lower middle income,2,60.980000000000004,906.6547442266667,4.873333333333333,271.3333333333333,3.2266666666666666,28.464469216666664,26.473333333333336,3.2616494339999997,452.0000003973641
Dominica,Latin America & Caribbean,Upper middle income,1,72.65666666666667,722.75665,12.7,141.23333333333335,0.1,47.891129819999996,4.84,5.030289206,193.33333581685991
Dominican Republic,Latin America & Caribbean,Upper middle income,1,72.36666666666666,3724.6375187333333,12.78,141.33333333333334,1.3466666666666667,47.891129819999996,15.393333333333334,5.022759088666667,20360.00013224284
Ecuador,Latin America & Caribbean,Upper middle income,1,74.85333333333332,2042.2894484666665,13.053333333333335,130.06666666666666,0.18666666666666665,40.76240569733333,16.646666666666665,5.8213549633333335,32593.333180745438
El Salvador,Latin America & Caribbean,Lower middle income,1,71.92666666666668,2536.462832466667,12.746666666666666,150.86666666666667,0.28,47.891129819999996,9.546666666666665,8.101215552666666,6696.000011444092
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2,55.486666666666665,8417.725847133333,8.879999999999999,275.6,5.3533333333333335,47.891129819999996,6.6,1.871653358,7891.999937693279
Eritrea,Sub-Saharan Africa,Low income,2,61.71333333333334,280.41339334545455,4.993333333333334,289.6666666666667,1.1666666666666667,47.891129819999996,6.6,5.680502351333333,595.3333286444346
Estonia,Europe & Central Asia,High income,3,74.74,8893.306594733333,16.04,166.46666666666667,0.1,92.66200386933333,2.7199999999999998,5.514609462666667,17185.999926249173
Ethiopia,Sub-Saharan Africa,Low income,2,59.64,274.3772628133333,6.993333333333334,278.53333333333336,2.5733333333333333,4.0516878558,30.39333333333333,4.503030364666667,7103.333339691168
Fiji,East Asia & Pacific,Upper middle income,1,68.78,3125.7112814666666,14.253333333333334,118.6,0.1,47.891129819999996,4.9,3.2385806086666666,1160.6666590372724
Finland,Europe & Central Asia,High income,3,80.92666666666668,25336.342795333334,17.293333333333333,72.46666666666667,0.1,82.04470886466667,2.5,8.681224314,57904.66587320965
France,Europe & Central Asia,High income,3,82.44666666666667,26732.212016666665,15.913333333333334,77.13333333333334,0.1,78.99752151,2.5,10.719720394666666,353087.3324381511
Gabon,Sub-Saharan Africa,Upper middle income,2,62.32666666666667,5250.108805866666,12.426666666666668,215.4,7.9,47.891129819999996,13.92,2.9809303453333333,5776.000021616618
Georgia,Europe & Central Asia,Upper middle income,1,73.61999999999999,2256.033079833333,12.76,114.0,0.1,42.277623724,5.986666666666666,8.040261491333334,5505.333345413208
Germany,Europe & Central Asia,High income,3,81.38666666666667,24379.015926666667,16.62666666666667,69.66666666666667,0.1,96.30146769533333,2.5,10.574217032666667,786543.9986979169
Ghana,Sub-Saharan Africa,Lower middle income,2,61.10666666666667,872.4603430066667,9.633333333333333,189.53333333333333,2.2,7.6999746928,9.28,3.8309126053333333,10323.333260854079
Greece,Europe & Central Asia,High income,3,81.42,17468.321346,16.073333333333334,72.93333333333334,0.1,82.62750264,2.5,8.551864369333334,90509.33325195308
Grenada,Latin America & Caribbean,Upper middle income,1,73.24666666666667,6335.645750533334,15.280000000000001,151.86666666666667,0.1,47.891129819999996,6.6,5.390716457333334,312.66666523615527
Guatemala,Latin America & Caribbean,Upper middle income,1,72.0,2413.183687933333,9.973333333333333,125.2,0.3866666666666667,47.891129819999996,18.166666666666668,6.096702799333333,11915.999956766766
Guinea,Sub-Saharan Africa,Low income,2,56.24666666666667,295.7946565533333,7.333333333333333,255.33333333333334,2.14,47.891129819999996,6.6,4.167141311333333,2071.3333253860474
Guinea-Bissau,Sub-Saharan Africa,Low income,2,55.586666666666666,389.9791296133333,8.413333333333334,168.66666666666666,4.933333333333334,6.5046084798,6.6,7.018719547333333,222.00000047683707
Guyana,Latin America & Caribbean,Upper middle income,1,65.65333333333334,1839.6997080666665,10.78,201.13333333333333,1.06,47.891129819999996,7.393333333333333,3.825824244666667,1727.3333320617674
Haiti,Latin America & Caribbean,Lower middle income,2,59.95333333333333,432.4850350933333,8.493333333333334,177.2,2.5799999999999996,47.891129819999996,48.07333333333334,4.135943937333334,2195.3333441416416
Honduras,Latin America & Caribbean,Lower middle income,1,73.12666666666668,1503.9884103333331,10.96,139.86666666666667,0.76,44.589670321999996,18.473333333333336,7.80115757,8087.333348592122
Hungary,Europe & Central Asia,High income,3,73.96666666666667,8772.986812,15.2,144.0,0.1,72.16082646800001,2.5,7.3819312733333335,50365.99943033854
Iceland,Europe & Central Asia,High income,3,82.62666666666668,30049.244872,18.246666666666666,47.733333333333334,0.1,58.57888501733333,2.5,8.633695158666665,2139.3333218892412
India,South Asia,Lower middle income,2,65.61333333333333,864.5237453733333,10.093333333333334,141.4,0.2533333333333333,21.409586811066667,17.60666666666667,3.6816561533333334,1487855.3400065114
Indonesia,East Asia & Pacific,Lower middle income,2,67.64,1775.1294059466668,11.673333333333334,165.13333333333333,0.20666666666666667,47.891129819999996,14.806666666666667,2.604462966,395291.333170573
Iraq,Middle East & North Africa,Upper middle income,2,70.38000000000001,3542.55753725,9.993333333333334,136.26666666666668,0.1,37.062541712666665,17.973333333333336,3.034781408,102805.33325195314
Ireland,Europe & Central Asia,High income,3,80.4,34341.49555,17.753333333333334,71.0,0.1,66.96437889066667,2.5,8.591406694,41762.66659545899
Israel,Middle East & North Africa,High income,3,81.46000000000001,19974.364869999998,15.746666666666666,58.4,0.1,85.87906079666666,2.5,7.053087266,65583.99983723958
Italy,Europe & Central Asia,High income,3,82.37333333333332,22633.685021999998,16.006666666666668,52.666666666666664,0.1,95.68529786466667,2.5,8.464902622,416470.6639811198
Jamaica,Latin America & Caribbean,Upper middle income,1,74.40666666666667,2654.3912876,12.333333333333334,139.26666666666668,1.1733333333333333,47.891129819999996,8.56,4.99477698,9152.00011444092
Japan,East Asia & Pacific,High income,3,82.63333333333334,23983.215236666667,15.006666666666666,56.0,0.1,76.49314258333334,2.52,8.810764820666666,1198089.314453126
Jordan,Middle East & North Africa,Upper middle income,1,73.07333333333332,1833.6126369333333,13.28,113.06666666666666,0.1,78.16432399666665,6.433333333333334,8.311999415999999,20703.333409627274
Kazakhstan,Europe & Central Asia,Upper middle income,1,66.95333333333333,4227.961908666667,14.153333333333334,228.06666666666666,0.1,47.891129819999996,4.680000000000001,3.2265392306666665,196062.00036621094
Kenya,Sub-Saharan Africa,Lower middle income,2,57.85333333333333,761.6227581933333,10.073333333333332,343.26666666666665,8.139999999999999,47.891129819999996,25.92,5.551948737333333,10792.666585286468
Kiribati,East Asia & Pacific,Lower middle income,1,65.22,1200.5256590066667,11.806666666666667,123.26666666666667,0.1,21.349040535333334,4.5600000000000005,10.869850509333334,54.66666611035666
Kuwait,Middle East & North Africa,High income,1,73.88666666666667,32816.04460666667,13.7,82.4,0.1,100.0,2.506666666666667,2.585844254,73767.33305867513
Latvia,Europe & Central Asia,High income,3,73.91333333333334,8258.431136666668,15.693333333333333,158.06666666666666,0.1,59.35791172266667,2.7199999999999998,5.706207432666667,7724.666681925456
Lebanon,Middle East & North Africa,Lower middle income,1,74.3,4653.609651533334,13.666666666666666,62.2,0.1,11.985311284533333,7.7266666666666675,8.048840428,19935.333229064945
Lesotho,Sub-Saharan Africa,Lower middle income,2,48.74666666666667,815.8365584933333,10.726666666666667,550.5333333333333,22.513333333333332,24.222279948666667,16.52,7.774982387333334,503.3333337306976
Liberia,Sub-Saharan Africa,Low income,2,57.9,250.47286462666668,9.946666666666665,260.8,2.2266666666666666,47.891129819999996,35.733333333333334,8.125009267333333,730.0000059604647
Libya,Middle East & North Africa,Upper middle income,1,72.11999999999999,4366.574110090909,14.746666666666666,139.13333333333333,0.1,23.234898029333333,6.6,3.665683348,51964.00014241537
Lithuania,Europe & Central Asia,High income,3,72.88666666666667,9388.132216666667,16.24,124.93333333333334,0.1,84.13253948666667,2.5,6.210708553999999,11930.666694641113
Luxembourg,Europe & Central Asia,High income,3,80.98,53558.41389066667,13.646666666666667,65.53333333333333,0.1,92.27779529133333,2.5,6.429818693333333,10572.666493733728
Madagascar,Sub-Saharan Africa,Low income,2,63.06666666666667,318.58144095333336,9.42,225.2,0.52,6.3199036652,32.74666666666666,4.605213483333333,2036.6666742960608
Malawi,Sub-Saharan Africa,Low income,2,50.34666666666667,243.12034567333333,10.2,413.53333333333336,16.093333333333334,21.189370124,18.94,7.194019477333333,847.9999974568684
